원본,요약,카테고리,카테고리 요약
우천시 대비가 좀 더 되었으면 좋겠음. ,- 우천시 대비가 좀 더 되었으면 좋겠음.,"각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
우천시 바닥 물기 없도록 시설 추가 요망,- 우천시 바닥 물기 없도록 시설 추가 요망,"각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
"우천시 비올때를 대비해 프로그램 개설과 
예약프로그램이 없어지면 좋겠다.","- 우천시 비올때를 대비해 프로그램 개설
- 예약프로그램이 없어지면 좋겠다","공장협소
자녀동반가족
체험프로그램부족
실내프로그램
폐공장활용
다양한프로그램
프로그램운행
식사여흥
대기표시스템
의자관람불편
프로그램편함","- 프로그램 다양성·수량 부족(특히 어린이·가족 대상), 장소·수용인원 협소, 우천 대비·실내프로그램 부족, 예약·대기 시스템(사전예약 마감·대기표 등) 문제"
"우천시에 대응이 조금 더 원활했으면 좋았을 것 같다.
시민들은 우천시에도 함께 진행했는데 진행요원들이 조금 더 원활하게 대응했으면 좋겠다.","- 우천시에 대응이 조금 더 원활했으면 좋았을 것 같다.
- 시민들은 우천시에도 함께 진행했는데 진행요원들이 조금 더 원활하게 대응했으면 좋겠다.","공장협소
자녀동반가족
체험프로그램부족
실내프로그램
폐공장활용
다양한프로그램
프로그램운행
식사여흥
대기표시스템
의자관람불편
프로그램편함","- 프로그램 다양성·수량 부족(특히 어린이·가족 대상), 장소·수용인원 협소, 우천 대비·실내프로그램 부족, 예약·대기 시스템(사전예약 마감·대기표 등) 문제"
위치 주차시설,"- 위치
- 주차시설","교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
음료푸드트럭도 같이 있었으면 좋겠다. 체험 및 기타 즐길거리가 더 다양했으면 좋겠다,"- 음료 푸드트럭도 같이 있었으면 좋겠다.
- 체험 및 기타 즐길거리가 더 다양했으면 좋겠다.","체험부스
다양한체험
먹거리
어린이체험
가족참여
미디어아트
볼거리
축제아이템
가수
대기시간
행사
프로그램","- 어린이·가족 대상 체험부스 및 다양한 체험 확대, 먹거리(푸드트럭·푸드코트) 다양화, 미디어아트·볼거리 보강, 흡연 관련 냄새 등 문제 지적, 홍보 강화"
음식이 더 많으면 좋겠다,- 음식이 더 많으면 좋겠다,"각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
"의무실, 수유실 필요합니다.","- 의무실 필요합니다.
- 수유실 필요합니다.","각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
"이번에는 추석연휴에 행사를 했는데, 토요일, 일요일 해도 좋을듯하다.
체험하는데 오랜시간을 기다려야 했다.
제6링고??의 한자 과학 체험이 제일 좋았다.
자기가 득점한 점수도 볼 수 있고 간만에 도파민이 셈 솟았다.","- 이번에는 추석연휴에 행사를 했는데  
- 토요일, 일요일 해도 좋을듯하다  
- 체험하는데 오랜시간을 기다려야 했다  
- 제6링고??의 한자 과학 체험이 제일 좋았다  
- 자기가 득점한 점수도 볼 수 있고 간만에 도파민이 셈 솟았다","트렌드
기획
차별화
공연
안내
푸드트럭
옷
먹거리
기상악화
대기줄
드론
불꽃쇼",- 기획·콘텐츠가 비슷해 차별화·특색 부족 · 체험/부스·인원·게임기 부족으로 대기·예약 문제(조기마감·안내미흡) · 먹거리·푸드트럭·물·커피 등 판매품목 부족·가격부담 · 우천 대비(피할곳·우비·우산대여) 부족·진흙으로 불편 · 휴게공간·좌석 부족·안내·진행요원·표지판 안내 미흡
자리가 더 많음 좋겠습니다,"개조식 요약:
- 자리가 더 많음 좋겠습니다","트렌드
기획
차별화
공연
안내
푸드트럭
옷
먹거리
기상악화
대기줄
드론
불꽃쇼",- 기획·콘텐츠가 비슷해 차별화·특색 부족 · 체험/부스·인원·게임기 부족으로 대기·예약 문제(조기마감·안내미흡) · 먹거리·푸드트럭·물·커피 등 판매품목 부족·가격부담 · 우천 대비(피할곳·우비·우산대여) 부족·진흙으로 불편 · 휴게공간·좌석 부족·안내·진행요원·표지판 안내 미흡
"자세한 안내문 필요.
다양한 체험, 가수 초청보다 예술공연을 많이 하면 좋겠다.","- 자세한 안내문 필요.
- 다양한 체험, 가수 초청보다 예술공연을 많이 하면 좋겠다.","체험부스
다양한체험
먹거리
어린이체험
가족참여
미디어아트
볼거리
축제아이템
가수
대기시간
행사
프로그램","- 어린이·가족 대상 체험부스 및 다양한 체험 확대, 먹거리(푸드트럭·푸드코트) 다양화, 미디어아트·볼거리 보강, 흡연 관련 냄새 등 문제 지적, 홍보 강화"
작년 대비 좋아졌어요.,- 작년 대비 좋아졌어요.,"각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
장소가 좀 더 넓고 교통편이 편한곳이면 좋겠어요.,"- 장소가 좀 더 넓었으면 좋겠어요.
- 교통편이 편한 곳이면 좋겠어요.","각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
"장소를 더 잘 꾸며주세요.
먹거리 부문이 좀 아쉬워요.","- 장소를 더 잘 꾸며주세요.
- 먹거리 부문이 좀 아쉬워요.","각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
"장소협소하고
프로그램 예약이 시간이 짧아요 (너무 어렵다)","- 장소 협소
- 프로그램 예약 시간이 짧아요 (너무 어렵다)","공장협소
자녀동반가족
체험프로그램부족
실내프로그램
폐공장활용
다양한프로그램
프로그램운행
식사여흥
대기표시스템
의자관람불편
프로그램편함","- 프로그램 다양성·수량 부족(특히 어린이·가족 대상), 장소·수용인원 협소, 우천 대비·실내프로그램 부족, 예약·대기 시스템(사전예약 마감·대기표 등) 문제"
접근성 및 장애인 활동 어려움,- 접근성 및 장애인 활동 어려움,"각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
조금 더 다양하고 저렴한 푸드,- 조금 더 다양하고 저렴한 푸드,"각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
"조금 더 다양한 즐길거리 및 주제에 적합한 전시가 많았으면 좋겠습니다.
파이팅!","- 조금 더 다양한 즐길거리 및 주제에 적합한 전시가 많았으면 좋겠습니다.
- 파이팅!","체험부스
다양한체험
먹거리
어린이체험
가족참여
미디어아트
볼거리
축제아이템
가수
대기시간
행사
프로그램","- 어린이·가족 대상 체험부스 및 다양한 체험 확대, 먹거리(푸드트럭·푸드코트) 다양화, 미디어아트·볼거리 보강, 흡연 관련 냄새 등 문제 지적, 홍보 강화"
조금 더 다양했으면,- 조금 더 다양했으면,"체험부스
다양한체험
먹거리
어린이체험
가족참여
미디어아트
볼거리
축제아이템
가수
대기시간
행사
프로그램","- 어린이·가족 대상 체험부스 및 다양한 체험 확대, 먹거리(푸드트럭·푸드코트) 다양화, 미디어아트·볼거리 보강, 흡연 관련 냄새 등 문제 지적, 홍보 강화"
조금만 더 다양해지면 좋을 것 같습니다,- 조금만 더 다양해지면 좋을 것 같습니다,"체험부스
다양한체험
먹거리
어린이체험
가족참여
미디어아트
볼거리
축제아이템
가수
대기시간
행사
프로그램","- 어린이·가족 대상 체험부스 및 다양한 체험 확대, 먹거리(푸드트럭·푸드코트) 다양화, 미디어아트·볼거리 보강, 흡연 관련 냄새 등 문제 지적, 홍보 강화"
좀 더 넓은 장소에서 했으면 함.,- 좀 더 넓은 장소에서 했으면 함.,"각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
좀 더 아이들이 참여할 수 있는 행사 요청,- 좀 더 아이들이 참여할 수 있는 행사 요청,"체험부스
다양한체험
먹거리
어린이체험
가족참여
미디어아트
볼거리
축제아이템
가수
대기시간
행사
프로그램","- 어린이·가족 대상 체험부스 및 다양한 체험 확대, 먹거리(푸드트럭·푸드코트) 다양화, 미디어아트·볼거리 보강, 흡연 관련 냄새 등 문제 지적, 홍보 강화"
좀 더 적극적인 홍보가 필요합니다.,- 좀 더 적극적인 홍보가 필요합니다.,"각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
좀 더 체험이 다양하면 좋겠습니다,- 좀 더 체험이 다양하면 좋겠습니다,"체험부스
다양한체험
먹거리
어린이체험
가족참여
미디어아트
볼거리
축제아이템
가수
대기시간
행사
프로그램","- 어린이·가족 대상 체험부스 및 다양한 체험 확대, 먹거리(푸드트럭·푸드코트) 다양화, 미디어아트·볼거리 보강, 흡연 관련 냄새 등 문제 지적, 홍보 강화"
좋았어요♥,- 좋았어요♥,"각 문장별 카테고리명(명사형, 10자 내외):

1. 가수
2. 가수
3. 가수
4. 양심
5. 의자시설
6. 교통
7. 즐길거리
8. 좋음
9. 좋음
10. 휠체어
11. 화장실
12. 놀이
13. 지푸라기",- 먹거리(부스·다양성·저렴한 푸드·마실거리) 확충 / 바닥(흙·질퍽)·포장·매트 보완 / 우천 대비(천막·우비·이동구간 정비) / 홍보 강화·사전안내 보완 / 공연·출연진·중간행사·볼거리 보강 / 편의시설(의자·휴식공간·화장실·수유실·의무실) 보강 / 교통·접근성·장소(넓이)·장애인 편의 개선
좋은 축제 감사합니다.,- 좋은 축제 감사합니다.,"트렌드
기획
차별화
공연
안내
푸드트럭
옷
먹거리
기상악화
대기줄
드론
불꽃쇼",- 기획·콘텐츠가 비슷해 차별화·특색 부족 · 체험/부스·인원·게임기 부족으로 대기·예약 문제(조기마감·안내미흡) · 먹거리·푸드트럭·물·커피 등 판매품목 부족·가격부담 · 우천 대비(피할곳·우비·우산대여) 부족·진흙으로 불편 · 휴게공간·좌석 부족·안내·진행요원·표지판 안내 미흡
"주차 문제, 쉴 공간","개조식 요약:
- 주차 문제
- 쉴 공간","교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차(임산부라 멀리 주차해서 힘들었음),- 주차(임산부라 멀리 주차해서 힘들었음),"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
"주차, 주차안내요원","- 주차
- 주차안내요원","교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차공간,- 주차공간,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차공간,- 주차공간,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차공간 미흡,"개조식 요약:
- 주차공간 미흡","교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차공간 확보,- 주차공간 확보,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차공간마련,- 주차공간마련,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차불편,- 주차불편,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차시설,- 주차시설,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차시설 부족,- 주차시설 부족,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차시설 확보,- 주차시설 확보,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차안내 및 주변 공장과의 협의,"- 주차안내
- 주변 공장과의 협의","교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차자리부족,- 주차자리부족,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차장,"개조식 요약:
- 주차장","교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차장,- 주차장,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차장 안내 미흡,- 주차장 안내 미흡,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차장 안내 미흡,- 주차장 안내 미흡,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
"주차장 안내가 부족했음.
없으면 안내라도 미리 고지했으면 좋겠음.","- 주차장 안내가 부족했음.
- 주차장이 없으면 안내라도 미리 고지했으면 좋겠음.","교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차장 확보,- 주차장 확보,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차장 확보 했으면 합니다.,- 주차장 확보 했으면 합니다.,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차장을 더 많이 해주셨음 좋겠습니다.,- 주차장을 더 많이 해주셨음 좋겠습니다.,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차장을 많이 넓혀주셨음 좋겠어요,- 주차장을 많이 넓혀주셨음 좋겠어요,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차장이 불편해요.,"개조식 요약:
- 주차장이 불편해요.","교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
주차장이 없어서 주차하는데 불편함을 겪었다.,- 주차장이 없어서 주차하는데 불편함을 겪었다.,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
줄서기 시간이 다소 김,"개조식 요약:
- 줄서기 시간이 다소 김","트렌드
기획
차별화
공연
안내
푸드트럭
옷
먹거리
기상악화
대기줄
드론
불꽃쇼",- 기획·콘텐츠가 비슷해 차별화·특색 부족 · 체험/부스·인원·게임기 부족으로 대기·예약 문제(조기마감·안내미흡) · 먹거리·푸드트럭·물·커피 등 판매품목 부족·가격부담 · 우천 대비(피할곳·우비·우산대여) 부족·진흙으로 불편 · 휴게공간·좌석 부족·안내·진행요원·표지판 안내 미흡
줄서는 대기시간이 오래걸림. 주차장 확보 시급.,"- 줄서는 대기시간이 오래걸림.
- 주차장 확보 시급.","교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
지속적으로,"개조식 요약:
- 지속적으로","트렌드
기획
차별화
공연
안내
푸드트럭
옷
먹거리
기상악화
대기줄
드론
불꽃쇼",- 기획·콘텐츠가 비슷해 차별화·특색 부족 · 체험/부스·인원·게임기 부족으로 대기·예약 문제(조기마감·안내미흡) · 먹거리·푸드트럭·물·커피 등 판매품목 부족·가격부담 · 우천 대비(피할곳·우비·우산대여) 부족·진흙으로 불편 · 휴게공간·좌석 부족·안내·진행요원·표지판 안내 미흡
"진흙 때문에 다니기 불편했음 (신발, 옷 등 훼손됨)","- 진흙 때문에 다니기 불편했음 (신발, 옷 등 훼손됨)","트렌드
기획
차별화
공연
안내
푸드트럭
옷
먹거리
기상악화
대기줄
드론
불꽃쇼",- 기획·콘텐츠가 비슷해 차별화·특색 부족 · 체험/부스·인원·게임기 부족으로 대기·예약 문제(조기마감·안내미흡) · 먹거리·푸드트럭·물·커피 등 판매품목 부족·가격부담 · 우천 대비(피할곳·우비·우산대여) 부족·진흙으로 불편 · 휴게공간·좌석 부족·안내·진행요원·표지판 안내 미흡
차량 이동 관련 주차장을 더 만들어 주세요.,- 차량 이동 관련 주차장을 더 만들어 주세요.,"교통편
주차시설
주차
주차 문제
주차공간
주차안내
주차안내요원
사전 주차 시설 공지
주차장 안내
휴지통 설치
셔틀버스
탑승위치
홍보 목록
위치
날씨
쉴 공간",- 주차공간·주차시설 부족; 주차장 안내 미흡(사전 공지·안내요원·셔틀 탑승 위치 등 안내 필요)
체험 놀이를 더 보충해주세요.,- 체험 놀이를 더 보충해주세요.,"체험부스
다양한체험
먹거리
어린이체험
가족참여
미디어아트
볼거리
축제아이템
가수
대기시간
행사
프로그램","- 어린이·가족 대상 체험부스 및 다양한 체험 확대, 먹거리(푸드트럭·푸드코트) 다양화, 미디어아트·볼거리 보강, 흡연 관련 냄새 등 문제 지적, 홍보 강화"
체험 부스 다양화. 눈으로도 응원합니다 ^^,"- 체험 부스 다양화.
- 눈으로도 응원합니다 ^^","체험부스
다양한체험
먹거리
어린이체험
가족참여
미디어아트
볼거리
축제아이템
가수
대기시간
행사
프로그램","- 어린이·가족 대상 체험부스 및 다양한 체험 확대, 먹거리(푸드트럭·푸드코트) 다양화, 미디어아트·볼거리 보강, 흡연 관련 냄새 등 문제 지적, 홍보 강화"
